Date	Value	
11/1/2021	1775.92	
12/1/2021	1828.6	
1/1/2022	1796.12	
2/1/2022	1900.7	
3/1/2022	1953.04	
4/1/2022	1911.7	
5/1/2022	1847.26	
6/1/2022	1817.4548	
7/1/2022	1766.4309	
8/1/2022	1708.58	
9/1/2022	1660.8799	
10/1/2022	1632.38	
11/1/2022	1768.61	
12/1/2022	1824.3233	
1/1/2023	1928.1201	
2/1/2023	1826.7404	
3/1/2023	1969.5459	
4/1/2023	1990.6	
5/1/2023	1965.2	
6/1/2023	1919.5693	
7/1/2023	1964.3387	
8/1/2023	1939.8281	
9/1/2023	1848.4898	
10/1/2023	1984.0109	
11/1/2023	2044.8957	
12/1/2023	2062.9233	
1/1/2024	2039.1538	
2/1/2024	2044.1997	
3/1/2024	2231.5551	
4/1/2024	2285.9886	
5/1/2024	2327.2836	
6/1/2024	2326.7177	
7/1/2024	2409.6865	
8/1/2024	2503.3796	
9/1/2024	2664.4143	
10/1/2024	2746.7019	
11/1/2024	2651.247	
12/1/2024	2624.603	
1/1/2025	2798.1968	
2/1/2025	2876.208	
3/1/2025	3086.3435	
4/1/2025	3273.5046	
5/1/2025	3289.5548	
6/1/2025	3266.4101	
7/1/2025	3285.7772	
8/1/2025	3415.7672	
9/1/2025	3836.2342	
10/1/2025	4002.7699	
11/1/2025	4217.3637	
12/1/2025	4322.3617	
1/1/2026	4865.35	
2/1/2026	5277.89	
3/1/2026	5086.24	
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
